ssp;rcp;reference
historical;historical;
ssp1;1.9, 2.6, 3.4, 4.5, 6.0;Taken from Cross-Chapter Box 1.4, Figure 1 in IPCC, 2021: Chapter 1 (see 10.1017/9781009157896.003 )
ssp2;1.9, 2.6, 3.4, 4.5, 6.0, 7.0;Taken from Cross-Chapter Box 1.4, Figure 1 in IPCC, 2021: Chapter 1 (see 10.1017/9781009157896.003 )
ssp3;3.4, 4.5, 6.0, 7.0;Taken from Cross-Chapter Box 1.4, Figure 1 in IPCC, 2021: Chapter 1 (see 10.1017/9781009157896.003 )
ssp4;2.6, 3.4, 4.5, 6.0;Taken from Cross-Chapter Box 1.4, Figure 1 in IPCC, 2021: Chapter 1 (see 10.1017/9781009157896.003 )
ssp5;2.6, 3.4, 4.5, 6.0, 7.0, 8.5;Taken from Cross-Chapter Box 1.4, Figure 1 in IPCC, 2021: Chapter 1 (see 10.1017/9781009157896.003 )
